file,PSNR,SSIM,UIQI,NCORR,MSE
0.jpg,26.901026431720044,0.8369750835083818,0.9870737476763898,0.9882543087005615,132.73263549804688
1.jpg,28.554130713673253,0.8443722166159918,0.971310748725064,0.9817667007446289,90.71253204345703
10.jpg,29.824264274340283,0.8742019993370517,0.9922170949156927,0.9931475520133972,67.71017456054688
100.jpg,31.039864860551766,0.8795784496956006,0.9948901153150413,0.9950207471847534,51.17924499511719
101.jpg,30.684203718826115,0.8645414516607134,0.9878657559208678,0.9907057881355286,55.54692077636719
102.jpg,26.906987190024587,0.8652395952206722,0.9895498078546754,0.9902990460395813,132.5505828857422
103.jpg,27.356696191265662,0.773490392199462,0.9818731046325939,0.9873226284980774,119.51178741455078
104.jpg,28.30193443890643,0.8382164462431243,0.9823734635431549,0.9863079786300659,96.13619232177734
105.jpg,26.581351101039186,0.8315370470024614,0.9824649048394168,0.9830783605575562,142.8713836669922
106.jpg,27.26821573607964,0.8220143092631322,0.9859776332051955,0.9883213043212891,121.97161865234375
107.jpg,29.510547047519925,0.5539431543148364,0.9847971815318156,0.991411566734314,72.78227996826172
108.jpg,27.858668261964176,0.8467225176220993,0.9902362767628924,0.9910909533500671,106.46663665771484
109.jpg,27.404262590177126,0.8127948988958041,0.9865708604259833,0.9890220165252686,118.20996856689453
11.jpg,28.578482351974422,0.88011413933084,0.9867693488922681,0.9889240264892578,90.20531463623047
110.jpg,31.27136210213475,0.9140248909467391,0.9941838856467488,0.994768500328064,48.52260971069336
111.jpg,28.70761602791366,0.8270524439109561,0.9839860714556407,0.9878924489021301,87.5626220703125
112.jpg,27.704793332632818,0.8185960070818682,0.9763834611187749,0.9818868637084961,110.30648040771484
113.jpg,29.47134143301762,0.8596482985726648,0.9911237545621892,0.9921387434005737,73.44229125976562
114.jpg,28.67880928560063,0.8664180493067394,0.9838199717369518,0.9898196458816528,88.14535522460938
116.jpg,28.880351315158915,0.8700668185662367,0.9893329739859377,0.9899716377258301,84.14827728271484
117.jpg,29.09579168092361,0.8694738383166133,0.9930177512592149,0.9940711855888367,80.0757827758789
118.jpg,30.486374530972427,0.8462056760429545,0.990357903664489,0.9941378831863403,58.13570022583008
119.jpg,29.904131526272145,0.8672982876809039,0.9893351622114501,0.9905256628990173,66.47635650634766
12.jpg,28.900300337190423,0.8489911921664591,0.9795865990090936,0.9831225872039795,83.76263427734375
120.jpg,29.827530941598024,0.8702092481349039,0.990904436830483,0.9911898374557495,67.65926361083984
121.jpg,28.828211507341965,0.866258552943722,0.9939665773695682,0.9941725134849548,85.16461944580078
122.jpg,29.70775156296664,0.8636848813624658,0.9850310722458163,0.9885039925575256,69.5512924194336
123.jpg,28.499053331267554,0.8610835386005453,0.9815126380741083,0.9868131875991821,91.87027740478516
124.jpg,24.653458073123495,0.8147342704823585,0.9701220276193339,0.976253867149353,222.7073516845703
125.jpg,29.34278121066852,0.8331464724189078,0.9813804087457352,0.9865332841873169,75.64883422851562
126.jpg,28.597200017483168,0.8361461712469849,0.9767885537462653,0.9843990802764893,89.81737518310547
127.jpg,30.155789049359637,0.9075127772609175,0.995637075716404,0.9960374236106873,62.73377990722656
128.jpg,27.366752409537153,0.8353891378186388,0.9868847994006523,0.988918662071228,119.2353744506836
129.jpg,30.313535481489644,0.8891785199416429,0.996083599240816,0.9963547587394714,60.49602127075195
13.jpg,29.464765830469815,0.8658548371973414,0.9831291475807146,0.985777735710144,73.55357360839844
14.jpg,27.427061237120366,0.8221440887035647,0.988660969582313,0.9901747107505798,117.5910415649414
15.jpg,27.531259062971934,0.8238633607396973,0.9782863025160992,0.9854247570037842,114.8033218383789
16.jpg,31.8219861603475,0.9145946872009643,0.9951774277474543,0.9958023428916931,42.74464797973633
17.jpg,30.177696677475954,0.9060469226950403,0.9765179654678057,0.9810500144958496,62.418121337890625
18.jpg,30.707602228307643,0.8852634185990337,0.9926352889901183,0.9929710626602173,55.24845504760742
,,,,,
AVERAGES,28.857348531535216,0.847665702221226,0.9861953967441306,0.9890846341848374,89.760218334198
